,OBJECTID,EMPRESA,NOMBRE,TENSION_NO,ESTACION,POTENCIA_N,NUMERO_TRA,geometry
207,618.0,SEAL,CONO NORTE,33.0,S.E. CONO NORTE,10.0,1.0,POINT (-71.59422945300003 -16.347198777000017)
208,619.0,ELECTROSUR,SET PUQUINA,33.0,S.E. SET PUQUINA,2.0,1.0,POINT (-71.18486200000001 -16.630522999999982)
209,620.0,SEAL,MEJIA,33.0,S.E. MEJIA,1.0,1.0,POINT (-71.89614145799999 -17.09464744600001)
210,621.0,SEAL,LA CURVA,33.0,S.E. LA CURVA,4.0,1.0,POINT (-71.82076048599998 -17.145766190000018)
211,622.0,SEAL,MATARANI,33.0,S.E. MATARANI,6.0,1.0,POINT (-72.08936699999998 -17.00220200000001)
212,623.0,SEAL,COCACHACRA,33.0,S.E. COCACHACRA,2.0,1.0,POINT (-71.75516752200002 -17.08836104599999)
213,624.0,SEAL,CHUCARAPI,33.0,S.E. CHUCARAPI,2.0,1.0,POINT (-71.722458061 -17.072284679000006)
214,625.0,SEAL,ALTO AGUA LIMA,33.0,S.E. ALTO AGUA LIMA,6.0,1.0,POINT (-72.05619300000001 -17.009191999999985)
215,626.0,ELECTRO ORIENTE,YURIMAGUAS,33.0,S.E. YURIMAGUAS,7.0,1.0,POINT (-76.12359700000002 -5.913213999999982)
216,627.0,SEAL,PORONGOCHE,33.0,S.E. PORONGOCHE,20.0,1.0,POINT (-71.51300372700001 -16.416867061999994)
217,628.0,ELECTROCENTRO,SAN FRANCISCO,60.0,S.E. SAN FRANCISCO,4.0,1.0,POINT (-73.78853515700001 -12.631181824999999)
218,629.0,ELECTROCENTRO,PUERTO BERMUDEZ,60.0,S.E. PUERTO BERMUDEZ,7.0,1.0,POINT (-74.99955945300002 -10.212198383999976)
219,630.0,ELECTROCENTRO,PICHANAKI,60.0,S.E. PICHANAKI,9.0,1.0,POINT (-74.85854799999998 -10.942993999999999)
220,631.0,ELECTROCENTRO,DELFIN,33.0,S.E. DELFIN,2.0,1.0,POINT (-75.550005 -10.143033000000003)
221,632.0,SEAL,CHUQUIBAMBA,60.0,S.E. CHUQUIBAMBA,4.0,1.0,POINT (-72.64729715700003 -15.843787033000012)
222,633.0,ELECTROCENTRO,VILLA RICA,60.0,S.E. VILLA RICA,15.0,1.0,POINT (-75.27741700000001 -10.734984999999995)
223,634.0,ELECTROCENTRO,SATIPO,60.0,S.E. SATIPO,9.0,1.0,POINT (-74.60799700000001 -11.216721000000007)
224,635.0,ELECTRO PUNO,ANANEA,60.0,S.E. ANANEA,7.0,1.0,POINT (-69.543092 -14.683795999999973)
225,636.0,ELECTRO UCAYALI,YARINACOCHA,60.0,S.E. YARINACOCHA,28.0,2.0,POINT (-74.58217605099998 -8.352911776999974)
226,637.0,MINERA AURIFERA RETAMAS,LLACUABAMBA,138.0,S.E. LLACUABAMBA,15.0,1.0,POINT (-77.44862596500002 -8.036764828999992)
227,638.0,HIDRANDINA,HUARI,60.0,S.E. HUARI,9.0,1.0,POINT (-77.18103000000002 -9.346915000000024)
228,639.0,HIDRANDINA,LA PAMPA,60.0,S.E. LA PAMPA,4.0,1.0,POINT (-77.908863 -8.657227999999975)
229,640.0,HIDRANDINA,SIHUAS,138.0,S.E. SIHUAS,8.0,1.0,POINT (-77.634224975 -8.55950883600002)
230,641.0,HIDRANDINA,POMABAMBA,60.0,S.E. POMABAMBA,6.0,1.0,POINT (-77.470677045 -8.809002825999983)
231,642.0,HIDRANDINA,CASMA,138.0,S.E. CASMA,25.0,2.0,POINT (-78.32021899699998 -9.463306588000023)
232,643.0,MINERA PIERINA,PIERINA,138.0,S.E. PIERINA,7.2,1.0,POINT (-77.582652 -9.472908000000018)
